gene_id,SRR10720198,SRR10720199,SRR10720203,SRR10720205
gene-YBR297W,114,84,110,112
gene-YBR298C,86,86,88,77
gene-YBR298C-A,0,0,0,0
gene-YBR299W,7,1,0,4
gene-YBR301W,2,0,0,0
gene-YBR302C,47,33,38,24
gene-YCL001W,283,224,236,240
gene-YCL001W-A,15,13,13,9
gene-YCL001W-B,14,13,17,5
gene-YCL002C,164,140,152,146
gene-YCL004W,519,455,460,380
gene-YCL005W,604,628,538,488
gene-YCL005W-A,405,370,423,441
gene-YCL008C,1540,1590,1557,1312
gene-YCL009C,2211,2074,1902,1911
gene-YCL010C,853,902,821,722
gene-YCL011C,5595,5309,5356,4843
gene-YCL012C,132,90,87,107
gene-YCL014W,2230,2361,2279,2048
gene-YCL016C,454,362,403,397
gene-YCL017C,1146,1007,1271,1128
gene-YCL018W,0,0,0,0
gene-YCL019W,14,20,19,8
gene-YCL020W,0,0,0,0
gene-YCL021W-A,57,56,53,40
gene-YCL024W,955,902,1592,1298
gene-YCL025C,1764,1884,1693,1525
gene-YCL026C-A,91,110,349,457
gene-YCL026C-B,216,183,1283,1511
gene-YCL027W,266,239,390,344
gene-YCL028W,1772,1706,1810,1537
gene-YCL029C,1495,1542,1255,1174
gene-YCL030C,1203,1483,787,717
gene-YCL031C,4387,4398,4107,3869
gene-YCL032W,648,662,564,574
gene-YCL033C,82,95,92,85
gene-YCL034W,1819,1698,1640,1471
gene-YCL035C,803,744,808,877
gene-YCL036W,327,334,220,158
gene-YCL037C,11801,11126,12144,9648
gene-YCL038C,130,155,140,141
gene-YCL039W,2206,2153,2305,1884
gene-YCL040W,2923,3213,2699,2496
gene-YCL042W,70,59,64,58
gene-YCL043C,4327,3847,4766,3885
gene-YCL044C,3410,3322,3377,2692
gene-YCL045C,2141,2108,2424,2002
gene-YCL047C,188,207,232,236
gene-YCL048W,7,3,2,3
gene-YCL048W-A,2,4,1,0
gene-YCL049C,120,132,145,118
gene-YCL050C,2333,2011,3546,3603
gene-YCL051W,1637,1800,1917,1544
gene-YCL052C,1122,1104,1212,1120
gene-YCL054W,4267,3957,3447,3149
gene-YCL054W-A,0,0,1,0
gene-YCL055W,339,295,369,336
gene-YCL056C,562,450,522,577
gene-YCL057C-A,366,373,267,286
gene-YCL057W,1508,1428,2206,1888
gene-YCL058C,4,4,1,2
gene-YCL058W-A,563,397,298,316
gene-YCL059C,1071,1008,708,715
gene-YCL061C,3117,2917,4417,3892
gene-YCL063W,1272,1253,1346,1261
gene-YCL064C,1062,1088,3611,3872
gene-YCL066W,2,2,0,0
gene-YCL067C,0,0,0,2
gene-YCL068C,0,0,1,0
gene-YCL069W,0,0,0,0
gene-YCL073C,8,4,6,4
gene-YCL074W,0,0,0,0
gene-YCL075W,0,0,0,0
gene-YCR001W,1,0,1,0
gene-YCR002C,599,546,581,615
gene-YCR003W,940,1050,872,928
gene-YCR004C,2095,2050,2474,2419
gene-YCR005C,5429,4735,7692,7022
gene-YCR006C,151,148,150,124
gene-YCR007C,115,110,118,103
gene-YCR008W,2679,3092,3013,2488
gene-YCR009C,1383,1218,1354,1253
gene-YCR010C,11,11,10,11
gene-YCR011C,2080,2136,2350,2099
gene-YCR012W,2941,2819,4483,3919
gene-YCR014C,582,588,571,489
gene-YCR015C,612,566,615,558
gene-YCR016W,1991,1701,1304,1350
gene-YCR017C,1197,1164,1356,1179
